index,product_name,is_dietary_supplement,is_cosmetic,is_medical_device,is_prescription_drug,is_medicine
369,Аміновен Інфант 10% (Aminoven Infant 10%),False,True,False,False,False
370,Амінокапронова кислота (Aminocapronic acid),False,False,False,False,True
371,Амінокислотний биокомплекс (Aminoacids biocomplex),False,False,False,False,True
372,Амінол ® (Aminol),False,False,False,False,True
373,Аміноплазмаль Б. Браун 10% Е (Aminoplasmal B. Braun 10% E),False,False,False,False,True
374,Аміноплазмаль ® Гепа-10% (Aminoplasmal ® Hepa-10%),False,False,False,False,True
375,Аміностерил Н-Гeпa (Aminosteril N-Hepa),False,False,False,False,True
376,Аміодарон (Amiodaron),False,False,False,False,True
377,Аміодарон-Дарниця (Amiodarone-Darnitsa),False,False,False,False,True
378,Аміокордин ® (Amiokordin),False,False,False,False,True
379,Амітриптилін (Amitriptyline),False,False,False,False,True
380,Амітриптилін (Amitriptyline),False,False,False,False,True
381,Амітриптиліну гідрохлорид (Amitriptyline hydrochloride),False,False,False,False,True
382,Амітриптиліну гідрохлорид-ЗН (Amitriptyline hydrochloride-ZN),False,False,False,False,True
383,Амітриптиліну гідрохлорид-ОЗ (Amitriptyline hydrochloride-OZ),False,False,False,False,True
384,Аміфена ІС (Amifena IC),False,False,False,False,True
385,Аміцил ® (Amicil),False,False,False,False,True
386,Аміцитрон ® (Amicitron),False,False,False,False,True
387,Аміцитрон ® Екстратаб (Amicitron Extratab),False,False,False,False,True
388,Аміцитрон ® Плюс (Amicitron Plus),False,False,False,False,True
389,Аміцитрон ® форте (Amicitron forte),False,False,False,False,True
390,Амкесол уно (Amcesol uno),False,False,False,False,True
391,Амкесол фіто (Amkesol fito),False,False,False,False,True
392,Амкесол ® (Amkesol ® ),False,False,False,False,True
393,Амлесса (Amlessa),False,False,False,False,True
394,Амліпін (Amlipin),False,False,False,False,True
395,Амлодил Босналек ® (Amlodil Bosnalijek ® ),False,False,False,False,True
396,Амлодипін (Amlodipin),False,False,False,False,True
397,Амлодипін (Amlodipine),False,False,False,False,True
398,Амлодипін (Amlodipinum),False,False,False,False,True
399,Амлодипін Євро (Amlodipine Euro),False,False,False,False,True
400,Амлодипін Сандоз ® (Amlodipine Sandoz ® ),False,False,False,False,True
401,Амлодипін-Астрафарм (Amlodipine-Astrapharm),False,False,False,False,True
402,Амлодипін-Дарниця (Amlodipin-Darnitsa),False,False,False,False,True
403,Амлодипін-Здоров'я (Amlodipine-Zdorovye),False,False,False,False,True
404,Амлодипін-КВ (Amlodipinum-KV),False,False,False,False,True
405,Амлодипін-Тева (Amlodipine-Teva),False,False,False,False,True
406,Амлодипін-Фармак (Amlodipine-Farmak),False,False,False,False,True
407,Амлосартан (Amlosartan),False,False,False,False,True
408,Амлостат ® (Amlostat ® ),False,True,False,False,False
409,Амодерм Нео (Amoderm Neo),False,False,False,False,True
410,Амоксиклав ® (порошок для оральної суспензії) (Amoksiklav ® (powder for oral suspension)),False,False,False,False,True
411,Амоксиклав ® (порошок для розчину для ін’єкцій) (Amoksiklav ® (powder for solution for injection)),False,False,False,False,True
412,Амоксиклав ® 2x (Amoksiklav 2x),False,False,False,False,True
413,Амоксиклав ® Квіктаб (Amoksiklav ® Quicktab),False,False,False,False,True
414,Амоксил-К (Amoxil-K),False,False,False,False,True
415,Амоксил-К 1000 (Amoxil-K 1000),False,False,False,False,True
416,Амоксил-К 625 (Amoxil-K 625),False,False,False,False,True
417,Амоксил ® (Amoxil ® ),False,False,False,False,True
418,Амоксил ® ДТ (Amoxil DT),False,False,False,False,True
419,Амоксицилін-Клавуланат-Віста,False,True,False,False,False
420,Аморолфін-Інтелі (Amorolfin-Inteli),False,False,False,False,True
421,Ампіплюс,False,True,False,False,False
422,Ампісульбін ® (Ampisulbin),False,False,False,False,True
423,Ампіцилін для ін'єкцій (Ampicillin for injections ),False,False,False,False,True
424,Ампіцилін таблетки (Ampicillin tablets ),False,False,False,False,True
425,Амприл HL/HD (Ampril HL/HD),False,True,False,False,False
426,Амприл ® (Ampril),False,False,False,False,True
427,Амфоліп (Ampholip),False,False,False,False,True
428,Анагрелід-Віста,False,False,False,False,True
429,Анальгін (Analgin),False,False,False,False,True
430,Анальгін (Analgin),False,False,False,False,True
431,Анальгін (Analgin),False,False,False,False,True
432,Анальгін (Analginum),False,False,False,False,True
433,Анальгін (Analginum),False,False,False,False,True
434,Анальгін (Analginum),False,False,False,False,True
435,Анальгін для дітей (Analgin for kids),False,False,False,False,True
436,Анальгін-Дарниця (Analginum-Darnitsa),False,False,False,False,True
437,Анальгін-Дибазол-Папаверин (Analgin-Dibazol-Papaverine),False,False,False,False,True
438,Анальгодекс (Analgodex),False,True,False,False,False
439,Анальдим (Analdim),False,False,False,False,True
440,Ананас-Ф супер (Ananas-F super),False,False,False,False,True
441,Анантаваті (Anantavati),False,False,False,False,True
